PATHOLOGIES,PLACEHOLDER,OBSERVATION,IMPRESSION,VARIABLES,QUESTION
endometrial polyp,UTERUS,A focal hyperechogenicity measuring ~ _measurement_1 mm is seen along the _endometrium - ? polyp.,A focal hyperechogenicity along the _endometrium - ? Endometrial Polyp.,"measurement_1,endometrium","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Endometrial Polyp""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the hyperechogenicity (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""endometrium"",
        ""value"": ""Location of the hyperechogenicity in the endometrium: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
enlarged mesenteric lymph nodes,OTHER,"Few/ multiple enlarged mesenteric lymph nodes noted, largest measuring ~ _measurement_1 mm in _mesenteric.",Enlarged mesenteric lymph nodes as described.,"measurement_1,mesenteric","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Enlarged Mesenteric Lymph Nodes""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lymph node (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""mesenteric"",
        ""value"": ""Location of the enlarged lymph nodes in the mesentery: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
enlarged para aortic and mesenteric lymph nodes,OTHER,"Few enlarged para aortic and mesenteric lymph nodes, largest measuring ~ _measurement_1 mm in _mesenteric region.",Para aortic and mesenteric lymphadenopathy as described.,"measurement_1,mesenteric","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Para-aortic and Mesenteric Lymphadenopathy""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lymph node (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""mesenteric"",
        ""value"": ""Region where the enlarged lymph nodes are located"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
epigastric hernia,OTHER,Anterior abdominal wall defect measuring ~ _measurement_1 cm is seen in epigastric region showing herniation of _herniated_content on cough,Anterior abdominal wall defect in epigastric region showing herniation of omental fat as decribed ~ Consistent with epigastric hernia.,"measurement_1,herniated_content,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Epigastric Hernia""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the defect (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""herniated_content"",
        ""value"": ""Content herniated through the defect: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Herniation extended into the subcutaneous plane?: "",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {""additional_text"": ""Extending into subcutaneous plane.""},
            ""no"": ""NA""
        }
    }
]
"
epiploic appendigitis,OTHER,Ill-defined inflammatory changes are seen in _side_1 iliac fossa - ? Epiploic appendigitis.,Ill-defined inflammatory changes in _side_1 iliac fossa - ? Epiploic appendigitis.,side_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Epiploic Appendigitis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the iliac fossa where inflammatory changes are observed: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
excessive bowel gas,OTHER,excessive bowel gas noted.,,,
excessive gaseous abdomen,OTHER,excessive gaseous abdomen noted.,,,
exophytic renal cortical,KIDNEYS,_side_1 exophytic renal cortical noted.,,side_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Extra Renal Pelvis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the extra renal pelvis"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
fatty infiltration of liver,LIVER,Normal in size (~ _measurement_1 cm) with diffuse fatty infiltration.,Diffuse fatty infiltration of liver.,measurement_1,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Diffuse Fatty Infiltration of Liver""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the Liver (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
free fluid in pouch of doughlas,OTHER,Minimal free fluid in pouch of doughlas,Minimal free fluid in pouch of doughlas,,
gall bladder - not visuaized,GALL BLADDER,Gall Bladder- Not visualized - ? Contracted,,,
gall bladder polyp,GALL BLADDER,"showing few non dependent hyperechoic foci along the walls, largest measuring ~ _measurement_1 mm along the _gb_location – likely suggestive of polyps.",Gall bladder shows few non-dependent hyperechoic foci along the walls as described – Likely suggestive of Gall bladder polyps.,"measurement_1,gb_location","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Gall Bladder Polyp""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest hyperechoic focus (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""gb_location"",
        ""value"": ""Location of the hyperechoic focus in the gall bladder: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
gall bladder wall edema,GALL BLADDER,_distended at the time of scan showing edematous walls.,Gall bladder shows edematous walls ~ Suggested clinical correlation.,distended,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Gall Bladder Wall Edema""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""distended"",
        ""value"": ""Distention of Gall bladder: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
hemangioma-spleen,SPLEEN,A well-defined homogeneously hyperechoic lesion measuring ~ _measurement_1 cm is seen in _spleen_pole region of spleen- Likely suggestive of hemangioma.,Splenic hemangioma as described.,"measurement_1,spleen_pole","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Splenic Hemangioma""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the lesion (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""spleen_pole"",
        ""value"": ""Region of the spleen where the lesion is located: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
hemorrhagic ovarian cyst,OVARIES,"A well-defined cystic lesion seen in _side_1 adnexa showing few echogenic internal septations and fine internal echoes within,",A well-defined cystic lesion in _side_1 adnexa showing few echogenic internal septations and fine internal echoes within. To consider possibility of hemorrhagic ovarian cyst.,"side_1,measurement_1,measurement_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Hemorrhagic Ovarian Cyst""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""place_holder"": ""false"",
        ""value"": ""Side of the adnexa with cystic lesion:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""place_holder"": ""false"",
                    ""value"": ""Size of the cystic lesion in right adnexa (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 cm.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""place_holder"": ""false"",
                    ""value"": ""Size of the cystic lesion in left adnexa (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 cm.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""place_holder"": ""false"",
                    ""value"": ""Size of the cystic lesion in right adnexa (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the cystic lesion in left adnexa (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 cm in right adnexa and measuring ~ _measurement_2 cm in left adnexa.""
                        }
                    }
                }
            ]
        }
    }
]"
hepatic calcified granuloma,LIVER,A calcified granuloma measuring ~ _measurement_1 mm is seen in _lobe_1 lobe.,Hepatic calcifications - ? Calcified granuloma,"measurement_1,lobe_1","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Hepatic Calcified Granuloma""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the calcified granuloma (mm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""multiple choice"",
    ""key"": ""lobe_1"",
    ""place_holder"": ""false"",
    ""value"": ""Lobe of the liver where granuloma is seen: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
hepatic hemangioma,LIVER,A well-defined homogenously hyperechoic lesion measuring ~ _measurement_1 cm is seen in _lobe_1 lobe – Likely suggestive of hemangioma.,Hepatic hemangioma as described.,"measurement_1,lobe_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Hepatic Hemangioma""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the lesion (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""lobe_1"",
        ""value"": ""Lobe of the liver where the lesion is located: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
hepatic metastasis,LIVER,"Showing multiple well-defined hyperechoic lesions of varying sizes in _all_lobe_withlesion lobes, largest measuring ~ _measurement_1 cm in _largestlesion_notedlobe lobe – Likely suggestive of hepatic metastasis.",Liver showing multiple well-defined hyperechoic lesions of varying sizes in _all_lobe_withlesion lobes – Likely in favour of hepatic metastasis.,"all_lobe_withlesion,measurement_1,largestlesion_notedlobe","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Hepatic Metastasis""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""all_lobe_withlesion"",
        ""value"": ""Lobes of the liver showing hyperechoic lesions: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lesion (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""largestlesion_notedlobe"",
        ""value"": ""Lobe of the liver where the largest lesion is located: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
hepatomegaly,LIVER,_level_1 hepatomegaly (~ _measurement_1 cm) _liver_ecotexture.,_level_1 hepatomegaly.,"level_1,measurement_1,liver_ecotexture","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Hepatomegaly""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""level_1"",
        ""value"": ""Level of hepatomegaly"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Liver size (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""liver_ecotexture"",
        ""value"": ""Liver echotexture : "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
hydronephrosis,KIDNEYS,_side_1 _level_1 hydronephrosis noted with _hydronephrosis corresponding to pelvi-ureteric junction.,_side_1 _level_1 hydronephrosis noted with _hydronephrosis corresponding to pelvi-ureteric junction.,"side_1,level_1,hydronephrosis,measurement_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Hydronephrosis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of hydronephrosis"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""level_1"",
        ""value"": ""Level of hydronephrosis"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""hydronephrosis"",
        ""value"": ""Type of hydronephrosis"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""calculus"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the calculus (mm): "",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 mm.""
                        }
                    }
                }
            ],
            ""abrupt tapering"": ""__mandate__""
        }
    }
]"
hydroureteronephrosis,KIDNEYS,_side_1 _severity hydroureteronephrosis noted.,_side_1 _severity hydroureteronephrosis noted.,"side_1,severity,yes_no_1,measurement_1,measurement_2,measurement_3,measurement_4","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Hydroureteronephrosis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of hydroureteronephrosis"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""severity"",
        ""value"": ""Severity of hydroureteronephrosis"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Presence of blunting of calyces and flattening of papillae, and parenchymal thinning?: "",
        ""followup"": ""true"",
        ""to_followup"": { 
            ""yes"":[ 
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Right ~ AP diameter (mm): "",
                    ""followup"": ""fasle"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Right ~ Minimal parenchymal thickness (mm): "",
                    ""followup"": ""fasle"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_3"",
                    ""value"": ""Left ~ AP diameter (mm): "",
                    ""followup"": ""fasle"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_4"",
                    ""value"": ""Left ~ Minimal parenchymal thickness (mm): "",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_4"" : {""additional_text"": ""blunting of calyces and flattening of papillae – showing associated parenchymal thinning. Right ~ AP diameter ~ _measurement_1 mm, Minimal parenchymal thickness ~ _measurement_2 mm. Left ~ AP diameter ~ _measurement_3 mm, Minimal parenchymal thickness ~ _measurement_4 mm.""}
                    }
                }
            ]},
            ""no"":""__mandate__""
            }]"
ilio-caecal intussusception,OTHER,Bowel in bowel appearance is seen in right ilio-lumbar region involving ilium and caecum giving target appearance showing mesenteric fat and enlarged lymph nodes as lead point.,Features are likely in favour of Ilio-caecal intussusception. Suggested clinical correlation.,,
incisional hernia,OTHER,"A defect measuring ~ _measurement_1 cm is seen along the _abd_wall, showing associated herniation of _herniated_content~ Likely in favour of incisional hernia.",Incisional hernia as described.,"measurement_1,abd_wall,herniated_content","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Incisional Hernia""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the defect (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""abd_wall"",
        ""value"": ""Abdominal wall location showing the defect"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""herniated_content"",
        ""value"": ""Content herniated through the defect"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
increased peristalsis,OTHER,Distal ileal loops appear mildly oedematous showing increased peristalsis.,Distal ileal loops appear mildly oedematous showing increased peristalsis- suggested clinical correlation in view of active infective aetiology.,,
inguinal lymphadenitis,OTHER,An enlarged _side_1 inguinal lymph node noted measuring ~ _measurement_1 cm showing associated significant inflammatory changes in the form of raised adjacent fat echogenicity.,_side_1 inguinal lymphadenitis.,"side_1,measurement_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Inguinal Lymphadenitis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the inguinal lymph node:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the lymph node (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
interloopal free fluid,OTHER,Minimal interloopal free fluid noted.,Minimal interloopal free fluid.,,
intravesical segment calculus,URINARY BLADDER,"_distended at the time of scan.
A calculus measuring ~ _measurement_1 mm is seen in intra-vesical segment of distal most _side_1 ureter.",A calculus in intra-vesical segment of distal most _side_1 ureter.,"distended,measurement_1,side_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Intravesical Segment Calculus""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""distended"",
        ""value"": ""Bladder distention: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the calculus (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the ureter involved: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
iucd device,UTERUS,IUCD device noted insitu.,,,
lipoma,OTHER,_no_of_1 small subcutaneous lipomas are seen in subcutaneous plane of _abd_wall.,_abd_wall lipomas as described,"no_of_1,abd_wall","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Lipoma""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""no_of_1"",
        ""value"": ""Number of small subcutaneous lipomas:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""abd_wall"",
        ""value"": ""Location of the lipomas in the subcutaneous plane:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
minimal pleural effusion,OTHER,_side_1 minimal pleural effusion with subsegmental collapse of underlying lung.,minimal pleural effusion with subsegmental collapse of underlying lung – suggested clinical correlation.,side_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Minimal Pleural Effusion""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the pleural effusion:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
nabothian gland cyst,UTERUS,A well-defined cystic lesion measuring ~ _measurement_1 mm is seen along the _nabothian ~ Likely suggestive of Nabothian gland cyst.,Nabothian gland cysts as described.,"measurement_1,nabothian","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Nabothian Gland Cyst""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the cystic lesion (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""nabothian"",
        ""value"": ""Location of the cystic lesion:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
non obstructive renal calculus,KIDNEYS,Non obstructive renal calculus noted in _side_1 kidney.,non obstructive _side_1 renal calculus.,"side_1,measurement_1,no_of_1,kidney_pole_1,no_of_2,measurement_2,kidney_pole_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Non-Obstructive Renal Calculus""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of renal calculus:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of calculi in right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the calculus is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 of _side_1 kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of calculi in left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the left kidney where the calculus is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 of _side_1 kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of calculi in right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus in right kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the calculus is located:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_2"",
                    ""value"": ""Number of calculi in left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the calculus in left kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_2"",
                    ""value"": ""Pole of the left kidney where the calculus is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. _no_of_2 calculus measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. _no_of_2 calculus measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. _no_of_2 calculus measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
                        }
                    }
                }
            ]
        }
    }
]"
ovarian origin,OVARIES,A well-defined cystic lesion measuring ~ _measurement_1 cm is seen in _side_1 adnexa – showing no obvious internal echoes / septations within,Left adnexal cystic lesion as described – Likely of ovarian origin- suggested clinical correlation.,"measurement_1,side_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Ovarian Origin""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the cystic lesion (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the adnexa where the lesion is located"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
para aortic and mesenteric lymphadenopathy,OTHER,"Few/ multiple enlarged para aortic and mesenteric lymph nodes noted, largest measuring ~ _measurement_1 cm in _mesenteric.",Para aortic and mesenteric lymphadenopathy as described.,"measurement_1,mesenteric","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Para Aortic and Mesenteric Lymphadenopathy""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""mesenteric"",
        ""value"": ""Location of the largest lymph node"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lymph node (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
para ovarian cyst,OVARIES,A well-defined cystic lesion measuring ~ _measurement_1 cm is seen in _cyst_noted_side_of_adnexa adnexa – adjacent to _side_of_adjacent_ovary ovary.,A well-defined cystic lesion seen adjacent to _side_of_adjacent_ovary ovary – Likely para ovarian cyst.,"measurement_1,cyst_noted_side_of_adnexa,side_of_adjacent_ovary","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Para Ovarian Cyst""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the cyst (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""cyst_noted_side_of_adnexa"",
        ""value"": ""Side of the adnexa where the cyst is seen: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_of_adjacent_ovary"",
        ""value"": ""Side of the ovary adjacent to the cyst: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
para pelvic cyst,OTHER,A well-defined cystic lesion measuring ~ _measurement_1 cm is seen adjacent to _side_1 renal pelvis – Likely para pelvic cyst.,,"measurement_1,side_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Para Pelvic Cyst""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the cyst (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the renal pelvis where the cyst is adjacent to: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
